integer-1,varchar-32,varchar-32,integer-1,varchar-24
577,BMW,M6,64736,Warde Stainson
134,Hyundai,Accent,75901,Antonius Rolinson
69,Ram,2500,77824,Horatio Damiral
273,Lamborghini,Diablo,23787,Mark Carrane
468,GMC,Sierra 2500,13694,Huntley Chess
406,Ford,E350,90030,Jeffry Kirvell
175,Aston Martin,Vantage,77135,Dannie Petel
108,GMC,Suburban 1500,91229,Roderic Sweeting
275,Nissan,Pathfinder,62769,Laural Densie
573,Chevrolet,Silverado,18088,Ellswerth Channer
995,Infiniti,QX,94262,Avie Luipold
157,Ford,Courier,84461,Felicity Cogan
613,Ford,Focus,79017,Herold Iwanowski
681,Audi,A4,56930,Stephani O'Reilly
353,Scion,xA,84021,Flor Baroche
885,Plymouth,Voyager,36674,Kattie Muckart
680,Volvo,V40,58015,Belle Antal
530,Buick,Riviera,30137,Nickolas Fendley
860,Lexus,GS,84377,Vickie Ragate
288,Pontiac,Grand Prix,98510,Sampson Lauridsen
48,Eagle,Summit,77117,Bealle McAllen
172,Mitsubishi,3000GT,19711,Ainslie Hollingsby
436,Kia,Rio,58299,Berkeley Fitzroy
522,Chevrolet,S10,95039,Carrissa Delhay
454,Hyundai,Santa Fe,65265,Pamela Uzzell
639,Plymouth,Voyager,47271,Walt Sterte
846,Hummer,H1,69739,Joya Stanway
519,Ford,Aerostar,28448,Sindee Issit
673,Chrysler,LHS,14852,Lindsey Spurrior
686,Ram,C/V,54216,Rafi Boddington
148,Toyota,Tacoma Xtra,32369,Redd Burgen
153,Lotus,Elise,73001,Sula Bodley
869,Mitsubishi,Challenger,86058,Suellen Pennyman
782,Suzuki,Kizashi,40053,Nolan Castana
164,Mercedes-Benz,SL-Class,57263,Teador Skelbeck
867,Bentley,Azure T,35390,Keene Bussey
82,Mercury,Topaz,15368,Jackquelin Hemms
310,Volkswagen,Scirocco,63498,Lilli Boagey
549,Ford,Taurus,93665,Gibb Ordish
441,Porsche,Boxster,68044,Petronella Furmston
765,Mercedes-Benz,GL-Class,60416,Nita Koppe
614,Jeep,Wrangler,78738,Sheree Meece
455,Dodge,Dakota,57195,Shelton Garrood
778,Suzuki,Daewoo Magnus,50168,Georgina Pentony
266,BMW,3 Series,53147,Rosabel Graeme
567,Hyundai,Sonata,50264,Dani Cornelisse
799,Dodge,Ram Van B250,55553,Duke Wintersgill
586,Lexus,GX,52559,Joanne Boame
365,Chevrolet,Malibu,32493,Helenka Barnicott
814,Ford,F150,61630,Dagmar Garett
696,Toyota,4Runner,67142,Nara Gravells
738,Ford,Ranger,75837,Jeddy Taillant
893,Audi,4000CS Quattro,31334,Pincus Gasperi
703,Isuzu,i-290,55178,Evelyn Mont
582,Jeep,Compass,16267,Henrieta Brixey
258,Saturn,VUE,53529,Lusa Pawlyn
608,Oldsmobile,98,93550,Fowler Van Der Straaten
489,Hyundai,Sonata,28421,Jaime Thorn
366,Jaguar,XK Series,41185,Niccolo Mulhall
843,Mazda,CX-9,41632,Pryce Jay
261,Oldsmobile,Ciera,42548,Allene Momery
388,Porsche,911,96736,Georgy Frunks
725,Buick,Park Avenue,48815,Yoshi Schumacher
333,Infiniti,G,49927,Peria Rudgard
338,Mitsubishi,Galant,48168,Kathi Leggett
232,Rolls-Royce,Phantom,42963,Mehetabel Devericks
976,Saab,9-5,84187,Janela Aggis
995,Infiniti,QX,94262,Christina Downing
372,Isuzu,Rodeo,57659,Fredric MacSween
657,Volvo,XC70,70559,Kliment Elis
827,Honda,CR-V,32491,Troy Pinkney
31,Lexus,HS,81980,Annissa Lieb
931,GMC,Yukon XL 1500,23637,Tandie Bottinelli
736,Mercedes-Benz,400SE,87898,Charmine Lowdeane
395,Buick,LeSabre,88769,Wood Collip
368,Chrysler,Concorde,23697,Hettie Devil
516,Suzuki,Swift,19420,Lou Toor
163,Subaru,Legacy,17137,Verene Siggs
301,Porsche,Cayenne,69186,Basilio Gecks
797,Pontiac,Parisienne,34434,Westbrooke Dunlop
832,Volvo,850,44385,Garrot Cockney
611,Acura,RDX,12563,Brannon Gibbonson
327,Audi,S8,63081,Guilbert Cowderoy
97,BMW,6 Series,57654,Patsy Klesel
680,Volvo,V40,58015,Garvin Redhills
427,Chevrolet,Colorado,82155,Bevan Sergent
909,Hyundai,Azera,17859,Hymie Mixture
726,Ford,Taurus,56764,Ramona Goolden
516,Suzuki,Swift,19420,Ned Pennuzzi
288,Pontiac,Grand Prix,98510,Jessika Duffy
773,Jeep,Grand Cherokee,88147,Fidela O'Dea
418,Chrysler,300,47326,Adham Farington
538,Mercury,Cougar,38172,Manny McMenamin
550,Bugatti,Veyron,34878,Nowell Brunel
739,Mazda,B-Series Plus,82728,Dalenna Hurl
571,Infiniti,QX56,37757,Rora Thys
279,Buick,Century,28753,Douglas Gilbane
729,Nissan,Maxima,89231,Damara Pundy
865,Scion,xD,35064,Dallis Kubicki
835,Honda,Odyssey,68714,Debi Borland
781,GMC,Suburban 2500,47923,Kimbra Freddi
109,Buick,Regal,65905,Carley Ewings
221,Pontiac,Sunfire,96868,Quintana Taill
580,Ford,F150,31054,Conrado Dowall
263,Audi,Allroad,30331,Tommy Woofinden
483,GMC,Canyon,70294,Harlen Duffie
664,Chevrolet,Silverado 1500,73290,Alfred Dmisek
408,Ford,F150,34239,Natala Gramer
87,Dodge,Nitro,57493,Abagael McKane
749,Volvo,S60,94651,Elfrida McVaugh
537,Dodge,Ram Wagon B350,29250,Waylan Rimmer
358,Lincoln,Continental,67358,Eugene Fabry
159,Kia,Sportage,48751,Marylou McIvor
886,Volvo,C70,12346,Aldis Costerd
91,Ford,Escort,21408,Brande Sikora
819,Jaguar,XJ Series,32884,Bo Champney
268,Nissan,Altima,37168,Bab Antonsson
951,Mercedes-Benz,GL-Class,63537,Alidia Leeming
44,Audi,TT,47886,Valentijn Cropton
4,Mercury,Sable,70813,Van Marley
62,Audi,S5,92117,Crin Veitch
268,Nissan,Altima,37168,Valma Sempill
864,Ford,F150,69044,Rosamund Stennings
133,Ford,Flex,60136,Lionello Zoren
242,Mazda,B2600,42375,Clayborn Pauluzzi
461,BMW,7 Series,47733,Britt Hambribe
967,Toyota,Tundra,93849,Verney Spurdon
10,Toyota,Camry,46123,Daveta Jorden
744,Dodge,Dakota,86229,Conrad McQuorkel
792,Toyota,Camry,78273,Aloysia Kinneir
467,GMC,Envoy,26916,Vivienne Mohammed
197,Peugeot,207,78696,Claire Ivanuschka
556,Chevrolet,2500,97807,Curt Brandi
461,BMW,7 Series,47733,Josephina Marcinkowski
918,Toyota,Avalon,60626,Sindee Ramas
305,Subaru,Forester,96350,Emlyn holmes
696,Toyota,4Runner,67142,Cordy Rosenzveig
611,Acura,RDX,12563,Eleanor Roake
142,Ford,F150,42224,Mab Raiker
452,Toyota,Prius Plug-in Hybrid,90631,Giffer Finnis
178,GMC,Savana 1500,31469,Amalle Twomey
133,Ford,Flex,60136,Brewer Hattoe
261,Oldsmobile,Ciera,42548,Alyda Syrad
287,Nissan,Xterra,33743,Lucian Gostick
415,Mitsubishi,Mirage,33937,Dru Gollop
277,Toyota,Tundra,17759,Sawyere Ragot
634,Mazda,Tribute,87889,Herschel Isard
780,Chevrolet,3500,88323,Joane Sterry
722,Mercury,Grand Marquis,59700,Paula Fernley
863,Pontiac,G3,76293,Dorene Brisco
835,Honda,Odyssey,68714,Domenico Fishly
671,Honda,S2000,55621,Hieronymus Gogin
155,Chevrolet,Sportvan G20,18514,Maxy Chidgey
516,Suzuki,Swift,19420,Klara Stopper
56,Mercedes-Benz,SLK-Class,18710,Giustina Blakemore
305,Subaru,Forester,96350,Foster Crenage
107,Ford,Tempo,77820,Thurstan Farra
433,Chevrolet,Suburban 2500,39176,Augustina Eaves
636,Lincoln,Continental,49852,Joan Troyes
107,Ford,Tempo,77820,Felicle Spurriar
833,Nissan,Pathfinder,11319,Blakeley Waite
195,Volkswagen,rio,71714,Ebeneser Patkin
536,Honda,Passport,32872,Kettie Depka
139,Ford,E350,15044,Elissa Cake
310,Volkswagen,Scirocco,63498,Elonore Kenshole
200,Chevrolet,G-Series 2500,70259,Trevor Nussey
243,Kia,Rio,21200,Debbi Taggert
306,Buick,Park Avenue,16418,Isabella Wehnerr
903,Ford,Econoline E350,56387,Eimile Headrick
380,Toyota,Corolla,72502,Aubree Eplate
813,Volkswagen,Cabriolet,36089,Jeanelle Tye
576,Lincoln,Navigator,92505,Drusy Galton
809,Ford,Tempo,14566,Bear Ligerton
82,Mercury,Topaz,15368,Jeffie Hedger
664,Chevrolet,Silverado 1500,73290,Tobie Crichten
564,Ford,Thunderbird,63108,Melessa Dedden
389,GMC,Rally Wagon 1500,34028,Maighdiln Coulter
720,Mazda,B-Series,85351,Evey Kohrsen
758,Jaguar,XK Series,57311,Hildy Hastings
642,Mercedes-Benz,SL-Class,52325,Rafaellle Crossgrove
968,Lexus,GX,40652,Andra Woller
665,Buick,Lucerne,71568,Sammie Fields
761,Ford,E-Series,42037,Brandice Wilcox
996,Toyota,Sequoia,66410,Nancee Ardling
836,Toyota,Corolla,81397,Feliks Blanden
769,Cadillac,Escalade EXT,21994,Pat Dincey
427,Chevrolet,Colorado,82155,Sal Biss
504,Mercedes-Benz,C-Class,24119,Danell ducarme
332,Infiniti,G,99249,Sheff Neiland
796,Lexus,SC,32955,Jorie Jarrelt
946,Austin,Mini,27984,Dido Knok
271,Kia,Rondo,70097,Tabitha Gate
556,Chevrolet,2500,97807,Garvy Summerly
768,Dodge,Ram Van 2500,87580,Maryellen Errington
551,Ford,F350,63151,Jerrylee Finnes
908,GMC,2500 Club Coupe,40116,Rochell Powlesland
744,Dodge,Dakota,86229,Svend Gunbie
670,Chrysler,Sebring,59938,Scarface Carbett
929,Suzuki,Grand Vitara,70399,Gennifer Knyvett
108,GMC,Suburban 1500,91229,Roxine Maldin
676,Ford,F250,23927,Sosanna Rayment
566,Volvo,S40,57087,Sonnnie Kellock
897,Kia,Sedona,32413,Ofella Jerman
3,Subaru,Forester,47063,Sallie Chamberlin
279,Buick,Century,28753,Hatty Gittis
732,Mazda,Mazdaspeed 3,24318,Joshua Snap
844,Mitsubishi,Eclipse,72326,Lovell Pawlata
167,Hummer,H3,91086,Elfreda Sherborne
674,Toyota,Tercel,35956,Jelene Lathee
63,Chevrolet,Corvette,43208,Fonz Fargie
383,Mazda,Miata MX-5,77962,Adah Champagne
344,Alfa Romeo,164,95651,Siouxie Bateson
811,Chevrolet,Impala,10362,Thorsten Mora
747,Pontiac,Grand Prix,20413,Chad Pharoah
119,Toyota,Solara,54693,Meggy De Paoli
487,Lincoln,MKS,10300,Renate Lorence
639,Plymouth,Voyager,47271,Rossy Chatin
521,Ford,Taurus,54773,Halimeda Hubane
770,Ferrari,F430,44807,Lucian Cuphus
530,Buick,Riviera,30137,Maddi Ridpath
901,Buick,LeSabre,86603,Biddy Reynard
369,Mitsubishi,3000GT,97862,Thurstan O'Reagan
133,Ford,Flex,60136,Zita Neaves
776,Oldsmobile,Achieva,75451,Jennilee Firebrace
187,Mercury,Tracer,43870,Catha Zupone
759,Ford,Crown Victoria,44412,Constancia Lello
317,Jeep,Wrangler,33954,Mel Laurencot
749,Volvo,S60,94651,Francis Thornton
549,Ford,Taurus,93665,Sybila Gedney
149,Audi,A6,71169,Roselin Tanman
651,Pontiac,Firebird,98838,Ginnie O'Hone
544,GMC,Canyon,34922,Joye Danaher
37,Toyota,Prius Plug-in Hybrid,85514,Becca Priddey
127,Dodge,Ram 2500,35668,Abby Narup
409,Dodge,Grand Caravan,45289,Jessey Biggerdike
462,Honda,Civic,36590,Guinna Agdahl
321,Nissan,240SX,80462,Irvine Birckmann
657,Volvo,XC70,70559,Carline Skurm
659,Mercury,Mountaineer,47543,Darius Marvell
106,Cadillac,Escalade ESV,73231,Bertie Coppen
182,Mercedes-Benz,S-Class,67177,Hodge McCusker
455,Dodge,Dakota,57195,Aldric Seres
424,Lincoln,LS,38712,Farr Monckton
537,Dodge,Ram Wagon B350,29250,Illa Heber
342,Hyundai,XG350,74895,Melantha Sinton
463,Kia,Amanti,39736,Irvine Buckerfield
397,Dodge,Ram 1500,27206,Fionnula Skunes
126,Mazda,Millenia,68084,Doralin Harrington
518,Toyota,Celica,79626,Carlotta McCrow
300,Studebaker,Avanti,46276,Frans Drew-Clifton
610,Dodge,Viper,81400,Eva Mettrick
909,Hyundai,Azera,17859,Tony Gilogly
128,Mitsubishi,Starion,15541,Blakelee Kingaby
466,Audi,5000S,79521,Aidan Klesel
