integer-1,varchar-32,varchar-32,integer-1,varchar-24
226,Dodge,Ram Van 1500,11525,Florette Payn
238,Volkswagen,Jetta,11909,Tamma Veque
270,Ford,Laser,10418,Mariam Bragge
371,BMW,325,10114,Jerrome Cartmale
487,Lincoln,MKS,10300,Renate Lorence
523,Dodge,Dakota,11293,Dexter Yvon
612,Pontiac,Turbo Firefly,11944,Broderic Ditt
787,Mazda,B-Series,10890,Abrahan Sothcott
787,Mazda,B-Series,10890,Novelia Walliker
811,Chevrolet,Impala,10362,Thorsten Mora
833,Nissan,Pathfinder,11319,Blakeley Waite
833,Nissan,Pathfinder,11319,Alick Drinkeld
849,Honda,Fit,10936,Waverley Meugens
